ID_AWARD,ID_LOT_AWARDED,WIN_NAME,WIN_COUNTRY_CODE
8447168,,Dialogika GmbH,DE
8447171,,Ecologic Institute gemeinnützige GmbH,DE
8448828,,Josef Meier GmbH &amp; Co. KG Hoch- und Tiefbau,DE
8450085,,Ingenieurbüro Grohmann GmbH,DE
8450155,,Harnisch Creative Planning GmbH,DE
8450240,,Rupprecht Consult Forschung und Beratung GmbH,DE
8452251,1,Architekten Hermann Kaufmann ZT GmbH,AT
8452254,4,Brückner Dietz GmbH,DE
8455072,3,Heraeus Medical GmbH,DE
8455753,1,Hegemann Gmbh,DE
8455754,2,Hegemann GmbH,DE
8456149,,AFC Public Services GmbH,DE
8457403,,Erd-Straßen- und Tiefbau GmbH Rügen,DE
8457408,,Erd-Straßen- und Tiefbau GmbH Rügen,DE
8457409,,Erd-Straßen- und Tiefbau GmbH Rügen,DE
8457673,27,Burbach+Goetz Deutsche Sanitätshaus GmbH,DE
8458613,,"Arbeitsgemeinschaft Büro für Architektur, Städtebau und Denkmalpflege/ Architektur büro west",DE
8459147,,Paka Ingenieure für technische Gebäudeausrüstung /Team für Technik GmbH,DE
8459329,,Aktsiaselts Datel,EE
8462031,,baubüro.eins,DE
8462834,1,Berufsbildungswerk Neckargemünd,DE
8462835,2,Berufsbildungswerk Neckargemünd,DE
8462836,3,Berufsbildunsgwerk Neckargemünd,DE
8462859,,Arbeitsgemeinschaft Porr Deutschland GmbH / Porr Bau GmbH c/o Porr Deutschland GmbH,DE
8462862,,"Eiffage Rail, NL der Eiffage-Infra-Bau SE",DE
8462863,,DB Bahnbau Gruppe GmbH,DE
8463603,,BG Heinrich Lauber GmbH &amp; Co.KG / Adam Hörnig Baugesellschaft mbH &amp; Co KG,DE
8465071,,IRS Stahlwasserbauconsulting AG,DE
8465335,,DAA Deutsche Angestellten-Akademie GmbH,DE
8465384,,CONVIS Bau &amp; Umwelt Ingenieurdienstleistungen GmbH,DE
8470071,,ARGE Neubau HPW Charlottenburg I Hirsch + Lorenz GmbH,DE
8470778,2,"Athena Research and Innovation Center in Innovation, Communication and Knowledge Technologies",GR
8472128,1,Breteuil assurances courtage représentant de la compagnie VHV allgemeine Versicherung AG,FR
8472753,,Eberhard Karls Universität Tübingen,DE
8472760,,ITP – Ingenieurgesellschaft für Tragwerksplanung mbH,DE
8472952,,KPMG AG Wirtschaftsprüfungsgesellschaft,DE
8473231,,GKE Consult International GmbH,DE
8473591,,Geiger + Schüle Bau GmbH &amp; Co. KG,DE
8476039,,"Bär, Stadelmann, Stöcker Architekten",DE
8476287,,Bung Ingenieure AG,DE
8476291,,BUNG Ingenieure AG,DE
8476294,,Bung Ingenieure AG,DE
8476723,,"ARGE U9, Birkenstraße, GI+BA+Tunnel, Bleck&amp;Söhne / Schmohl+Sohn",DE
8476724,,"ARGE U7, Halemweg, Aufzug und neue Treppe, Wolfgang Bauer und Matthäi Bauunternehmen",DE
8476753,1,Burchtplein B.V.,NL
8476784,4,Bharat Forge CDP GmbH,DE
8477711,,Stahl- u. Brückenbau Niesky GmbH,DE
8477862,2,Bahne Petersen Baugesellschaft mbH &amp; Co. KG,DE
8478157,,"Alef Nula,a.s.",CZ
8479549,,ARGE GFA Consulting Group GmbH/IHS Institute for Housing and Urban Development Studies of Erasmus University Rotterdam,DE
8479842,,Engelbach + Partner Ingenieurgesellschaft Dresden mbH,DE
8480154,2,Business Upper Austria - OÖ. Wirtschaftsagentur GmbH,AT
8480279,,BAnTec GmbH,DE
8480370,1,Assurance Pilliot,FR
8480383,1,APCO Technologies SA,CH
8480384,2,APCO Technologies SA,CH
8481331,,Elsevier BV,NL
8483126,,ARGE ATP Frankfurt Planungs GmbH / Haid + Partner GmbH,DE
8483159,1,Alexander Hahn Forstwirtschaft,DE
8483165,"1, 2",Forst &amp; Mehr Franz Kleinlehner,DE
8483175,"2, 3",Christian Seyfried,DE
8483920,,B3-Beyrow Business Beratung,DE
8484231,7,Arbeitsmarkt-Initiative Stadt St. Wendel gGmbH im ASB,DE
8484232,8,BÜS - Bürgerservice gGmbH,DE
8484349,,ARGE Sicherung EÜ Billhorner Deich c/o Gleissicherung Lang GmbH,DE
8485188,,Albert-Ludwigs-Universität Freiburg (ALU-FR),DE
8485190,,Centre for Research and Technology Hellas (C.E.R.T.H),GR
8485191,,ConsulTech GmBH (CT),DE
8487765,,"Bietergemeinschaft BSZ-STA-AI, bestehend aus folgenden Mitgliederm: Administration Intelligence AG",DE
8488122,,BG Gerstgraser Ingenieurbüro für Renaturierung und Institut für Wasser und Boden Dr. Uhlmann,DE
8488211,1. Preis,Kempen Krause Ingenieure GmbH,DE
8488212,2. Preis,Club L94 Landschaftsarchitekten GmbH,DE
8488213,3. Preis,Ingenieurbüro Schmidt &amp; Rietzke,DE
8488215,Anerkennung,INROS LACKNER SE,DE
8488995,,SASU assurances pilliot,FR
8489018,,Adrianowytsch Architekten BDA,DE
8489052,,Grabner Huber Lipp Landschaftsarchitekten und Stadtplaner Partnerschaft mbb,DE
8490649,,Bel V,BE
8493088,,Bewerbergemeinschaft AWB Betriebshof Köln-Kalk c/o Schüßler-Plan GmbH,DE
8493241,1,Asmus + Prabucki Ingenieure Beratungsgellschaft mbH,DE
8493242,2,Asmus + Prabucki Ingenieure Beratungsgesellschaft mbH,DE
8493620,,DAHLEM Beratende Ingenieure GmbH &amp; Co. Wasserwirtschaft KG,DE
8493644,1,Bietergemeinschaft Haydn Energie Team GmbH,DE
8493651,1,Betriebsberatung e.V.,DE
8493652,2,Bietergemeinschaft Landschaftspflegeverband Mittelthüringen e.V.,DE
8493653,3,AWADO Consult GmbH Unternehmensberatungsgesellschaft für landwirtschaftlichen und gewerblichen Mittelstand Geschäftsstelle Leipzig,DE
8493654,4,JenaBios GmbH,DE
8493655,5,IAK AGRAR Consulting GmbH Leipzig,DE
8493656,6,Bietergemeinschaft Generationen Landwirtschaft,DE
8493657,7,AWADO Consult GmbH Unternehmensberatungsgesellschaft für landwirtschaftlichen und gewerblichen Mittelstand Geschäftsstelle Leipzig,DE
8493658,8,AWADO Consult GmbH Unternehmensberatungsgesellschaft für landwirtschaftlichen und gewerblichen Mittelstand Geschäftsstelle Leipzig,DE
8493659,9,Bietergemeinschaft Generationen Landwirtschaft,DE
8493660,10,Betriebsberatung e.V.,DE
8493661,11,BELANU Thorsten Breitschuh,DE
8493662,12,Bietergemeinschaft Generationen Landwirtschaft,DE
