ID_AWARD,ID_LOT_AWARDED,CAE_NAME,ISO_COUNTRY_CODE
8447168,,European Commission-Directorate General for Energy,LU
8447171,,"European Commission, Directorate-General for Environment",BE
8447173,,Gemeinde Unterföhring,DE
8448129,,Verwaltungsgemeinschaft Altfraunhofen,DE
8448343,,Verbandsgemeindewerke St. Goar-Oberwesel,DE
8448585,,Barmherzige Brüder gemeinnützige Krankenhaus GmbH,DE
8448586,,Barmherzige Brüder gemeinnützige Krankenhaus GmbH,DE
8448609,1,IT.NRW,DE
8448610,2,IT.NRW,DE
8448611,3,IT.NRW,DE
8448618,2,IKK classic,DE
8448619,8,IKK classic,DE
8448620,8,IKK classic,DE
8448621,9,IKK classic,DE
8448622,9,IKK classic,DE
8448625,2,IKK classic,DE
8448626,3,IKK classic,DE
8448627,3,IKK classic,DE
8448628,5,IKK classic,DE
8448805,,Stadt Dülmen,DE
8448806,,Freiburger Stadtbau GmbH,DE
8448807,,Freiburger Stadtbau GmbH,DE
8448808,,Freiburger Stadtbau GmbH,DE
8448809,,Freiburger Stadtbau GmbH,DE
8448810,,Schön Klinik Hamburg SE &amp; Co. KG,DE
8448811,,Schön Klinik Hamburg SE &amp; Co. KG,DE
8448812,,"Bundesamt für Bauwesen und Raumordnung, in Vertretung für das Bundesministerium der Verteidigung",DE
8448813,,Zisterzienserinnen Abtei Waldsassen,DE
8448814,,"Bundesamt für Bauwesen und Raumordnung, in Vertretung für das Bundesministerium der Verteidigung",DE
8448815,,"Bundesamt für Bauwesen und Raumordnung, in Vertretung für das Bundesministerium für Umwelt, Naturschutz, Bau und Reaktorsicherheit",DE
8448816,,Stuttgarter Wohnungs- und Städtebaugesellschaft mbH,DE
8448817,,Landesbetrieb Straßenwesen Brandenburg Dienststätte Potsdam,DE
8448824,,Stadtverwaltung Neckarsulm,DE
8448828,,Autobahndirektion Südbayern,DE
8448829,,Zentrale Auftragsvergabestelle des Landkreises Darmstadt-Dieburg für den Eigenbetrieb Da-Di- Werk Gebäudemanagement,DE
8448831,,Samtgemeinde Artland,DE
8448832,,Mitteldeutscher Rundfunk,DE
8448833,,Kliniken Dr. Erler gGmbH,DE
8448834,2,"Deutsche Bundesbank, Beschaffungszentrum",DE
8448843,,HOWOGE Wohnungsbaugesellschaft mbH,DE
8448850,1,"Deutsche Bundesbank, Beschaffungszentrum",DE
8448878,,"Landeshauptstadt Dresden, GB Stadtentwicklung, Bau, Verkehr und Liegenschaften, Amt f. Hochbau u. Immobilienverwaltung",DE
8448879,,Bezirkskliniken Schwaben,DE
8448939,,Bezirkskliniken Schwaben,DE
8448940,,Georg-August-Universität Göttingen Stiftung Öffentlichen Rechts,DE
8448951,1,Stadt Dülmen,DE
8448952,2,Stadt Dülmen,DE
8448953,2,"Studentenwerk Dresden, AöR",DE
8448955,02-A,"Studentenwerk Dresden, AöR",DE
8448958,,Stadtverwaltung Neckarsulm,DE
8448959,2,"Freie und Hansestadt Hamburg, FB SBH | Schulbau Hamburg",DE
8448960,,Georg-August-Universität Göttingen Stiftung Öffentlichen Rechts,DE
8448961,,Gemeinde Wustermark,DE
8448962,,Georg-August-Universität Göttingen Stiftung Öffentlichen Rechts,DE
8448963,,Georg-August-Universität Göttingen Stiftung Öffentlichen Rechts,DE
8448964,,Gemeinde Wustermark,DE
8448968,,Gemeinde Wustermark,DE
8449076,,Charité – Universitätsmedizin Berlin,DE
8449077,1,Feuerwehr Heilbronn,DE
8449078,2,Feuerwehr Heilbronn,DE
8449101,,Oberfinanzdirektion Karlsruhe — Landeszentrum für Datenverarbeitung (LZfD),DE
8449102,1,Kreis Dithmarschen,DE
8449103,2,Kreis Dithmarschen,DE
8449104,3,Kreis Dithmarschen,DE
8449107,1,Investitions- und Strukturbank Rheinland-Pfalz (ISB),DE
8449146,,Stadtverwaltung Weinstadt,DE
8449173,,"Stadt Wedel, Der Bürgermeister",DE
8449174,LOS 1,Amt Achterwehr für die,DE
8449175,LOS 2,Amt Achterwehr für die,DE
8449176,LOS 3,Amt Achterwehr für die,DE
8449235,,"Land Baden-Württemberg, vertreten durch das Ministerium für Inneres, Digitalisierung und Migration Baden Württemberg",DE
8449266,,"Ministerium für Inneres, Digitalisierung und Migration Baden-Württemberg",DE
8449307,1,"Service-Betrieb des Kreises Schleswig-Flensburg, Flensburger Str. 7, 24837 Schleswig",DE
8449308,2,"Service-Betrieb des Kreises Schleswig-Flensburg, Flensburger Str. 7, 24837 Schleswig",DE
8449337,,Zentralbeschaffung Untersuchungsämter BW beim CVUA Stuttgart,DE
8449351,,IHK Gesellschaft für Informationsverarbeitung mbH,DE
8449375,1,Stadt Gaggenau,DE
8449376,2,Stadt Gaggenau,DE
8449377,3,Stadt Gaggenau,DE
8449400,1.1,Gemeinde Sylt---Stadt Bad Bramstedt---Stadt Reinbek,DE
8449401,1.2,Gemeinde Sylt---Stadt Bad Bramstedt---Stadt Reinbek,DE
8449402,1.3,Gemeinde Sylt---Stadt Bad Bramstedt---Stadt Reinbek,DE
8449404,2.2,Gemeinde Sylt---Stadt Bad Bramstedt---Stadt Reinbek,DE
8449405,2.3,Gemeinde Sylt---Stadt Bad Bramstedt---Stadt Reinbek,DE
8449406,2.4,Gemeinde Sylt---Stadt Bad Bramstedt---Stadt Reinbek,DE
8449408,3.2,Gemeinde Sylt---Stadt Bad Bramstedt---Stadt Reinbek,DE
8449409,3.3,Gemeinde Sylt---Stadt Bad Bramstedt---Stadt Reinbek,DE
8449424,,European X-Ray Free-ElectronLaser Facility GmbH,DE
